"id","userPrincipalName","userDisplayName","userType","isAdmin","isSsprRegistered","isSsprEnabled","isSsprCapable","isMfaRegistered","isMfaCapable","isPasswordlessCapable","defaultMfaMethod","lastUpdatedDateTime","methodsRegistered"
"dda12963-ee32-4ae7-9794-d84757b9ed89","BFWoodard@azurenow.win","Beth F. Woodard","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"9890d298-be8a-42f2-b6f9-6479cd395ab3","mdcnotifications@azurenow.win","Contoso MDC Notice","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"1a959f60-6307-4101-9de7-da51b9bb9dc2","dailyuser@azurenow.onmicrosoft.com","Daily User","member","True","True","True","True","True","True","False","mobilePhone","6/7/2023 6:31:36 AM","email,mobilePhone,microsoftAuthenticatorPush"
"90a34793-1f82-48ad-9384-cdfa2adab29b","DCMcLaughlin@azurenow.win","Dolores C. McLaughlin","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"bd76ac52-20c6-4414-8cdc-e67278158800","EAHamilton@azurenow.win","Elsie A. Hamilton","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"de31f757-6ee0-4681-a83c-6ea26ef163ba","FCMcNamara@azurenow.win","Francis C. McNamara","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"c2df4bc0-822c-4ee3-81b7-ee3b5e95df92","globaluser@azurenow.onmicrosoft.com","Global User","member","True","True","True","True","False","False","False","none","6/7/2023 6:31:36 AM","None"
"7854f4ab-76c9-4e38-aa43-17c25b404012","engineer@azurenow.onmicrosoft.com","Good Engineer","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"c244c13b-fe9c-4a4a-b458-b2971894bafb","GYHill@azurenow.win","Gretchen Y. Hill","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"e62e0f0b-bd1e-4ab9-afd6-fb174566cd09","HEBender@azurenow.win","Hazel E. Bender","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"269906da-4023-416f-90b1-0169a7306e92","JSGriffin@azurenow.win","Jean S. Griffin","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"3b473d41-3f5d-41b1-9353-56f3778465ec","JIWallace@azurenow.win","Jerome I. Wallace","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"32501d93-9b73-406f-8e92-0503ecddbe44","JGDesai@azurenow.win","Julia G. Desai","guest","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"30da9e36-eaae-4f5b-8bcf-b28fae64f286","KUPuckett@azurenow.win","Karen U. Puckett","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"0112e20f-740f-42ec-ad53-264ecdf49e0e","KHChung@azurenow.win","Kristina H. Chung","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"ebb0cf41-82af-4e7f-b8d3-3a81b1b0fa02","KKDougherty@azurenow.win","Kristine K. Dougherty","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"62155432-036b-414b-bf03-d278ee8c0890","limitedadmin@azurenow.onmicrosoft.com","Limited Admin","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"584fdd3f-ceba-48db-b21a-7d039c077e80","MAWagner@azurenow.win","Malcolm A. Wagner","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"7280a860-cf8a-45ac-a6ba-be790f2dce85","MOMoon@azurenow.win","Marion O. Moon","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"2ab452d4-e2e8-4d35-8337-133bc9d7b02b","miresnic_microsoft.com#EXT#@azurenow.onmicrosoft.com","Mike Resnick (CSA)","guest","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"2a83c232-65fa-447a-b8ed-53a6fe717cc0","NFLawrence@azurenow.win","Neal F. Lawrence","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"b82154c3-6f5a-4e4d-9e63-8c26657059c6","Sync_LitwareDC1_3bdf4f0984fb@azurenow.onmicrosoft.com","On-Premises Directory Synchronization Service Account","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"71e2c765-f7f7-4cc8-96b6-3f5c2fe08351","PHChen@azurenow.win","Paige H. Chen","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"70d59a4b-57a9-4126-ae16-4798a69562b2","POSong@azurenow.win","Patrick O. Song","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"a035005d-13ba-4f29-8d3a-af681528b7a9","SSPRTest@azurenow.win","SSPR Test","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"5ac79cc8-50bf-40ac-a6aa-46d4b6356cca","SWRaynor@azurenow.win","Sandy W. Raynor","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"2db4b447-8bcd-4d69-9252-1562e1c948cb","STMelton@azurenow.win","Sherri T. Melton","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"dda12963-ee32-4ae7-9794-d84757b9ed89","BFWoodard@azurenow.win","Beth F. Woodard","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"9890d298-be8a-42f2-b6f9-6479cd395ab3","mdcnotifications@azurenow.win","Contoso MDC Notice","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
"1a959f60-6307-4101-9de7-da51b9bb9dc2","dailyuser@azurenow.onmicrosoft.com","Daily User","member","True","True","True","True","True","True","False","mobilePhone","6/7/2023 6:31:36 AM","email,mobilePhone,microsoftAuthenticatorPush"
"90a34793-1f82-48ad-9384-cdfa2adab29b","DCMcLaughlin@azurenow.win","Dolores C. McLaughlin","member","False","False","True","False","False","False","False","none","6/7/2023 6:31:36 AM","None"
